,price,ranks,title,no_of_reviews,ratings,author,cover_type,year
453,19.43,54,"The Cuckoo's Calling (A Cormoran Strike Novel, 1)","69,001",4.2,Robert Galbraith,Hardcover,2016
454,16.89,55,What to Expect When You're Expecting,"29,180",4.8,Heidi Murkoff,Paperback,2016
455,8.00,56,America the Beautiful: Rediscovering What Made This Nation Great,Ben Carson  M.D.,4.7,,Paperback,2016
456,14.85,57,The Liberty Amendments: Restoring the American Republic,"4,317",4.8,Mark R. Levin,Hardcover,2016
457,19.98,58,ZEALOT: The Life and Times of Jesus of Nazareth,"10,716",4.4,Reza Aslan,Hardcover,2016
458,10.64,59,The One and Only Ivan: A Newbery Award Winner,Katherine Applegate,4.8,,Hardcover,2016
459,14.55,60,Good to Great: Why Some Companies Make the Leap and Others Don't,"8,256",4.5,Jim Collins,Hardcover,2016
460,14.76,61,SI-COLOGY 1: Tales and Wisdom from Duck Dynasty's Favorite Uncle,"2,556",4.7,Si Robertson,Hardcover,2016
461,22.33,62,"IT'S ALL GOOD: Delicious, Easy Recipes That Will Make You Look Good and Feel Great","1,461",4.5,Gwyneth Paltrow,Hardcover,2016
462,13.33,63,Outliers: The Story of Success,"35,368",4.6,Malcolm Gladwell,Paperback,2016
463,19.29,64,Jerusalem: A Cookbook,"5,447",4.8,Yotam Ottolenghi,Hardcover,2016
464,42.28,65,"Becoming a Supple Leopard: Movement, Mobility, and Maintenance of the Human Animal",Kelly Starrett,4.7,,Hardcover,2016
465,10.99,66,"Grain Brain: The Surprising Truth about Wheat, Carbs, and Sugar--Your Brain's Silent Killers",David Perlmutter MD,4.5,,Hardcover,2016
466,7.64,67,Looking for Alaska,"31,179",4.5,John Green,Paperback,2016
467,15.19,68,I Am Malala: The Girl Who Stood Up for Education and Was Shot by the Taliban,"19,670",4.5,Malala Yousafzai,Hardcover,2016
468,4.98,69,Love You Forever,"57,852",4.9,Robert Munsch,Paperback,2016
469,12.69,70,The Perks of Being a Wallflower,"37,148",4.7,Stephen Chbosky,Paperback,2016
470,17.41,71,Practical Paleo: A Customized Approach to Health and a Whole-Foods Lifestyle,Diane Sanfilippo,4.6,,Paperback,2016
471,21.59,72,Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed),"69,265",4.6,E L James,Paperback,2016
472,,73,"The FastDiet: Lose Weight, Stay Healthy, and Live Longer with the Simple Secret of Intermittent Fasting",Dr Dr Michael Mosley,4.3,,Hardcover,2016
473,12.99,74,The Jesus Storybook Bible: Every Story Whispers His Name,"12,376",4.9,Sally Lloyd-Jones,Hardcover,2016
474,9.50,75,Divergent / Insurgent,"59,820",4.5,Veronica Roth,Hardcover,2016
475,10.30,76,How to Win Friends & Influence People (Dale Carnegie Books),"105,360",4.7,Dale Carnegie,Paperback,2016
476,19.99,77,"The Bully Pulpit: Theodore Roosevelt, William Howard Taft, and the Golden Age of Journalism","4,134",4.5,Doris Kearns Goodwin,Hardcover,2016
477,,78,The Hunger Games (Book 1),"76,522",4.7,Suzanne Collins,Paperback,2016
478,8.57,79,ObamaCare Survival Guide: The Affordable Care Act and What It Means for You and Your Healthcare,Nick J. Tate,3.8,,Paperback,2016
479,10.59,80,The Harbinger: The Ancient Mystery that Holds the Secret of America's Future,"23,833",4.7,Jonathan Cahn,Paperback,2016
480,8.95,51,Allegiant,"66,453",4.1,Veronica Roth,Hardcover,2017
481,13.29,52,Yes Please,"20,435",4.2,Amy Poehler,Hardcover,2017
482,22.23,53,"The Five Dysfunctions of a Team: A Leadership Fable, 20th Anniversary Edition",Patrick Lencioni,4.6,,Hardcover,2017
483,7.74,54,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),"105,354",4.7,Don Miguel Ruiz,Paperback,2017
484,20.80,55,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,"9,345",4.7,Stephen R. Covey,Paperback,2017
485,11.40,56,41: A Portrait of My Father,"5,027",4.6,George W. Bush,Hardcover,2017
486,49.00,57,Minecraft: The Complete Handbook Collection,"1,428",4.8,Stephanie Milton,Hardcover,2017
487,3.75,58,Frozen: A Tale of Two Sisters,"2,242",4.4,Melissa Lagonegro,Paperback,2017
488,11.82,59,Rush Revere and the Brave Pilgrims: Time-Travel Adventures with Exceptional Americans (1),"10,132",4.9,Rush Limbaugh,Hardcover,2017
489,,60,The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are,"39,634",4.7,Brené Brown,Paperback,2017
490,,61,Divergent / Insurgent / Allegiant,"4,638",4.6,Veronica Roth,Hardcover,2017
491,10.49,62,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,"24,835",4.6,Todd Burpo,Paperback,2017
492,15.95,63,Flash Boys,"17,726",4.5,Michael Lewis,Hardcover,2017
493,11.63,64,Rush Revere and the American Revolution: Time-Travel Adventures With Exceptional Americans,"4,870",4.9,Rush Limbaugh,Hardcover,2017
494,5.00,65,Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,,Board book,2017
495,3.97,66,The Going To Bed Book,"16,779",4.8,Sandra Boynton,Board book,2017
496,34.99,67,The World of Ice & Fire: The Untold History of Westeros and the Game of Thrones,"10,254",4.7,George R. R. Martin,Hardcover,2017
497,64.94,68,The Real ACT Prep Guide,ACT,4.4,,Paperback,2017
498,15.00,69,Gray Mountain: A Novel,"85,588",4.0,John Grisham,Hardcover,2017
499,16.89,70,What to Expect When You're Expecting,"29,180",4.8,Heidi Murkoff,Paperback,2017
500,12.99,71,The Jesus Storybook Bible: Every Story Whispers His Name,"12,376",4.9,Sally Lloyd-Jones,Hardcover,2017
501,15.00,72,"Lean In: Women, Work, and the Will to Lead","16,972",4.5,Sheryl Sandberg,Hardcover,2017
502,13.92,73,The Invention of Wings,"53,289",4.5,Sue Monk Kidd,Hardcover,2017
