title,author,rating,rank,number_of_reviews,price,cover_type,year
"Lean In: Women, Work, and the Will to Lead",Sheryl Sandberg,4.5,2,"16,972",11.00,Hardcover,2011
"Diary of a Wimpy Kid: Hard Luck, Book 8",Jeff Kinney,4.6,3,"25,519",,Hardcover,2011
Rush Revere and the Brave Pilgrims: Time-Travel Adventures with Exceptional Americans (1),Rush Limbaugh,4.9,4,"10,132",11.82,Hardcover,2011
"Jesus Calling, Padded Hardcover, with Scripture references",Sarah Young,4.9,5,"39,395",8.89,Hardcover,2011
Inferno,Dan Brown,4.2,6,"80,989",15.69,Hardcover,2011
"The House of Hades (Heroes of Olympus, Book 4)",Rick Riordan,4.8,7,"33,417",12.20,Hardcover,2011
"Things That Matter: Three Decades of Passions, Pastimes and Politics [Deckled Edge]",Charles Krauthammer,4.6,8,"11,064",11.95,Hardcover,2011
"Great Gatsby, the; (Us Import Ed.)",F. Scott Fitzgerald,4.4,9,"14,097",7.10,Paperback,2011
Killing Jesus (Bill O'Reilly's Killing Series),Bill O'Reilly,4.5,10,"20,981",19.39,Hardcover,2011
Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,,4.4,11,Eben Alexander,9.99,Paperback,2011
"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",American Psychiatric Association,4.7,12,"12,812",141.08,Paperback,2011
The Official SAT Study Guide,,4.4,13,The College Board,,Paperback,2011
The Fault in Our Stars,,4.6,14,John Green,11.06,Hardcover,2011
The Book Thief,Markus Zusak,4.6,15,"65,550",7.83,Paperback,2011
Wonder,R. J. Palacio,4.7,16,"82,598",9.40,Hardcover,2011
The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,4.7,17,"4,912",,Paperback,2011
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,18,"12,910",19.78,Paperback,2011
Divergent,Veronica Roth,4.7,19,"17,524",12.46,Paperback,2011
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,20,"11,598",4.99,Paperback,2011
"Oh, the Places You'll Go!  ",Dr. Seuss,4.9,21,"45,644",8.96,Hardcover,2011
"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Malcolm Gladwell,4.4,22,"13,375",16.65,Hardcover,2011
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.7,23,"8,359",42.84,Mass Market Paperback,2011
Allegiant,Veronica Roth,4.1,24,"66,453",8.95,Hardcover,2011
And the Mountains Echoed,Khaled Hosseini,4.3,25,"39,223",14.25,Hardcover,2011
Humans of New York,Brandon Stanton,4.8,26,"5,550",15.67,Hardcover,2011
The Legend of Zelda: Hyrule Historia,,4.9,27,Patrick Thorpe,25.10,Hardcover,2011
Doctor Sleep: A Novel,Stephen King,4.6,28,"40,440",14.11,Hardcover,2011
Knock-Knock Jokes for Kids: Knock-Knock Jokes for Kids (Joke Book & Gift Idea for Children Ages 6-12. Doubles as a Dad Jokes book for Father's Day and Birthdays) (Laugh-Out-Loud Jokes for Kids),Rob Elliott,4.5,29,"5,903",4.99,Paperback,2011
The Goldfinch: A Novel (Pulitzer Prize for Fiction),Donna Tartt,4.1,30,"122,729",18.50,Hardcover,2011
StrengthsFinder 2.0,,4.1,1,Gallup,20.96,Hardcover,2011
Frozen (Little Golden Book),,4.7,2,RH Disney,9.01,Hardcover,2011
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,3,"11,598",4.99,Paperback,2011
The Fault in Our Stars,,4.6,4,John Green,7.83,Paperback,2011
Diary of a Wimpy Kid: The Long Haul,Jeff Kinney,4.6,5,"29,335",9.99,Hardcover,2011
